lon,lat,K
-122.41719601139035,37.787386812229364,2
-122.41924981135676,37.760006524579637,2
-122.4170875504346,37.787415894301077,3
-122.41582507479168,37.761345915749274,3
-122.47811474903895,37.738906485698408,3
-122.41707260393981,37.787418458289608,4
-122.41579364338513,37.761446656040015,4
-122.48639782848089,37.758572304670537,4
-122.46632498052547,37.718814247089576,4
-122.41584255172643,37.761425546090464,5
-122.40458381843764,37.785478067363002,5
-122.46632498052547,37.718814247089576,5
-122.41877772337045,37.787655897689383,5
-122.48639782848089,37.758572304670537,5
-122.41876997704011,37.78765447103968,6
-122.41599323610956,37.761708601364369,6
-122.47063650707291,37.71921567096684,6
-122.48636572534035,37.758689247617198,6
-122.40452803943828,37.785471216258422,6
-122.4086372403893,37.726518355161097,6
